record_id,date,mandi_id,crop_name,modal_price,msp,price_gap,price_below_msp_flag,price_gap_pct
PR001650,2026/07/26,MANDI005,Cotton,7210.58,6620.0,590.5799999999999,0,8.921148036253776
PR010091,09.01.2026,MANDI011,REQUIRES_INVESTIGATION,1935.06,2183.0,-247.94000000000005,1,-11.357764544205224
PR000288,08-Aug-2026,MANDI031,Wheat,2546.79,2275.0,271.78999999999996,0,11.946813186813184
PR002536,2026-01-06,MANDI036,Wheat,2151.0,2275.0,-124.0,1,-5.450549450549451
PR009427,12-Aug-2026,MANDI050,Wheat,2367.64,2275.0,92.63999999999987,0,4.072087912087906
PR004344,2026-04-14,MANDI040,REQUIRES_INVESTIGATION,2063.53,2183.0,-119.4699999999998,1,-5.47274393037104
PR007582,24.01.2026,MANDI043,REQUIRES_INVESTIGATION,2303.861807881144,2183.0,120.86180788114416,0,5.536500590066154
PR004644,2026/05/25,MANDI026,Mustard,5994.455824860666,5650.0,344.4558248606663,0,6.096563271870201
PR002514,21/07/2026,MANDI007,Corn,2144.167343486675,2090.0,54.16734348667478,0,2.591738922807406
PR010213,02-17-2026,MANDI043,Wheat,2057.3,2275.0,-217.69999999999982,1,-9.569230769230762
PR011212,31-May-2026,MANDI008,Sugarcane,3672.66,3500.0,172.65999999999985,0,4.933142857142854
PR011958,02/04/2026,,Wheat,2332.79,2275.0,57.789999999999964,0,2.5402197802197786
PR002913,08.08.2026,MANDI027,Mustard,6049.51,5650.0,399.5100000000002,0,7.070973451327438
PR010458,2026/01/10,,Cotton,6138.929109845614,6620.0,-481.0708901543858,1,-7.266931875443894
PR002105,01-20-2026,MANDI039,Cotton,6428.56,6620.0,-191.4399999999996,1,-2.891842900302109
PR001266,2026/04/25,MANDI019,REQUIRES_INVESTIGATION,3873.0,3500.0,373.0,0,10.657142857142857
PR006089,02.03.2026,MANDI046,Mustard,5387.81,5650.0,-262.1899999999996,1,-4.6405309734513205
PR010862,2026/02/11,MANDI042,Mustard,6127.63,5650.0,477.6300000000001,0,8.453628318584073
PR003093,20-May-2026,MANDI008,REQUIRES_INVESTIGATION,2166.76,2183.0,-16.23999999999978,1,-0.7439303710490051
PR002359,09-Apr-2026,MANDI026,Cotton,6749.79,6620.0,129.78999999999996,0,1.9605740181268878
PR004233,29-Jan-2026,MANDI049,Paddy,2270.31,2183.0,87.30999999999995,0,3.9995419147961493
PR009368,04-05-2026,MANDI014,Cotton,6637.37,6620.0,17.36999999999989,0,0.2623867069486388
PR005203,29-Mar-2026,MANDI024,Wheat,2220.7,2275.0,-54.30000000000018,1,-2.3868131868131948
